FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.489242,489242,POINT (16.3277609144145 48.17221586640997),Wienerbergbrücke,Wienerbergbrücke,7A,1477,2,
OEFFHALTESTOGD.489243,489243,POINT (16.395566723632292 48.27125693662911),Lokomotivgasse,Lokomotivgasse,36A,812,2,
OEFFHALTESTOGD.489244,489244,POINT (16.302689639563773 48.16059769706556),"Südwestfriedhof, 2. und 8. Tor","Südwestfriedhof, 2. und 8. Tor",63A,1353,2,
OEFFHALTESTOGD.489245,489245,POINT (16.514975225648183 48.202206247184954),"Eßling, Wegmayersiedlung","Eßling, Wegmayersiedlung",88B,1083,2,
OEFFHALTESTOGD.489246,489246,POINT (16.33502827980387 48.24661293850177),Daringergasse,Daringergasse,39A,224,2,
OEFFHALTESTOGD.489247,489247,POINT (16.451280637464794 48.22136965575761),Wiedgasse,Wiedgasse,"86A, 87A",1473,2,
OEFFHALTESTOGD.489248,489248,POINT (16.456445716343094 48.254989779465426),Hochmuthgasse,Hochmuthgasse,27A,1674,2,
OEFFHALTESTOGD.489249,489249,POINT (16.27232809201205 48.16601894728319),Pensionistenwohnhaus Föhrenhof,Pensionistenwohnhaus Föhrenhof,56A,1782,2,
OEFFHALTESTOGD.489250,489250,POINT (16.41559878330226 48.27663869950399),Skraupstraße/Justgasse,Skraupstraße/Justgasse,"30A, 32A, 36A, 36B",1268,2,
OEFFHALTESTOGD.489251,489251,POINT (16.26642644915785 48.163675094695996),Glawatschweg,Glawatschweg,56A,406,2,
OEFFHALTESTOGD.489252,489252,POINT (16.337483093181227 48.25720440935682),Himmelstraße,Himmelstraße,38A,526,2,
OEFFHALTESTOGD.489253,489253,POINT (16.370820783046458 48.21011969158846),Brandstätte,Brandstätte,"1A, 2A, 3A",157,2,
OEFFHALTESTOGD.489254,489254,POINT (16.27637668729255 48.19208819709841),Ober Sankt Veit,Ober Sankt Veit,"47A, 54A, 54B",956,2,
OEFFHALTESTOGD.489255,489255,POINT (16.458670696948836 48.21979893363293),Stadlauer Friedhof,Stadlauer Friedhof,92A,1337,2,
OEFFHALTESTOGD.489256,489256,POINT (16.416132982749197 48.301186851361706),Freiheitsplatz,Freiheitsplatz,30A,352,2,
OEFFHALTESTOGD.489257,489257,POINT (16.487397617643996 48.21709308865371),Zachgasse,Zachgasse,92A,1512,2,
OEFFHALTESTOGD.489258,489258,POINT (16.37544685450508 48.17076883709281),Inzersdorfer Straße/Ettenreichgasse,Inzersdorfer Straße/Ettenreichgasse,7A,616,2,
OEFFHALTESTOGD.489259,489259,POINT (16.286391713105512 48.25826416674764),Dreimarkstein,Dreimarkstein,43A,488,2,
