FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.487483,487483,POINT (16.358814667996295 48.1793318485623),Matzleinsdorfer Platz,Matzleinsdorfer Platz,"1155, 1158, 261, 303, 309, 6011, 7860, 7940, 7941, G1",849,3,
OEFFHALTESTOGD.487484,487484,POINT (16.379626692115284 48.292483093704426),Dirnelwiese,Dirnelwiese,850,230,3,
OEFFHALTESTOGD.487485,487485,POINT (16.298052868418896 48.12917656377706),Siebenhirten Brunner Straße,Siebenhirten Brunner Straße,"260, 269, 270",1236,3,
OEFFHALTESTOGD.487486,487486,POINT (16.483305734281345 48.29300831897928),Gerasdorf,Gerasdorf,511,3499,3,
OEFFHALTESTOGD.487487,487487,POINT (16.280092109361707 48.24040872060432),Marswiese,Marswiese,445,936,3,
OEFFHALTESTOGD.487488,487488,POINT (16.456238227352028 48.26489495139451),Spitzweg,Spitzweg,520,1290,3,
OEFFHALTESTOGD.487489,487489,POINT (16.244983129651608 48.13766344243143),Kalksburg Kirchenplatz,Kalksburg Kirchenplatz,"253, 254",647,3,
OEFFHALTESTOGD.487490,487490,POINT (16.346266928953405 48.28439288414738),Donauwarte,Donauwarte,"400, 401, 402",237,3,
OEFFHALTESTOGD.487491,487491,POINT (16.427098354712445 48.13113411331406),Unterlaa Stadtgrenze,Unterlaa Stadtgrenze,266,1410,3,
OEFFHALTESTOGD.487492,487492,POINT (16.365106302515983 48.254467939259214),Grinzinger Straße,Grinzinger Straße,"400, 401, 402",428,3,
OEFFHALTESTOGD.487493,487493,POINT (16.389270587813776 48.29547281119777),Strebersdorfer Platz,Strebersdorfer Platz,"501, 510",1335,3,
OEFFHALTESTOGD.487494,487494,POINT (16.25224939701037 48.20397039116112),Wolfersberggasse,Wolfersberggasse,"450, 451",1501,3,
OEFFHALTESTOGD.487495,487495,POINT (16.355724029725117 48.17608993007198),Kundratstraße,Kundratstraße,"1155, 1158, 261, 303, 309, 7860, 7940, 7941",727,3,
OEFFHALTESTOGD.487496,487496,POINT (16.453106599545674 48.28297376944673),Pulkaugasse,Pulkaugasse,510,757,3,
OEFFHALTESTOGD.487497,487497,POINT (16.35042688454804 48.170419166751685),Spinnerin am Kreuz,Spinnerin am Kreuz,"1155, 1158, 261, 303, 309, 7860, 7940, 7941",1287,3,
OEFFHALTESTOGD.487498,487498,POINT (16.35669312807773 48.27447042228369),Kahlenbergerdorf,Kahlenbergerdorf,"400, 401, 402",635,3,
OEFFHALTESTOGD.487499,487499,POINT (16.448431352405436 48.28809103341611),Gerasdorf Mozartweg,Gerasdorf Mozartweg,511,5962,3,
OEFFHALTESTOGD.487500,487500,POINT (16.34524688208538 48.28504454571239),Donauwarte,Donauwarte,"400, 401, 402",237,3,
OEFFHALTESTOGD.487501,487501,POINT (16.367426510810535 48.25979088253017),Nußdorf,Nußdorf,"400, 401, 402",948,3,
OEFFHALTESTOGD.487502,487502,POINT (16.338273591126686 48.19676332969926),Westbahnhof,Westbahnhof,VAL1,1468,3,
OEFFHALTESTOGD.487503,487503,POINT (16.267104229441244 48.13890574705245),Breitenfurter Str/Liesingbr,Breitenfurter Str/Liesingbr,"253, 259",1695,3,
OEFFHALTESTOGD.487504,487504,POINT (16.26672817262241 48.13573556609946),Kaiser-Franz-Josef-Straße,Kaiser-Franz-Josef-Straße,"253, 259",637,3,
OEFFHALTESTOGD.487505,487505,POINT (16.257743920190123 48.13789509287006),"Willergasse, Liesingbrücke","Willergasse, Liesingbrücke",253,198,3,
OEFFHALTESTOGD.487506,487506,POINT (16.23584111057765 48.20474985304939),Wolf in der Au,Wolf in der Au,"450, 451",1482,3,
OEFFHALTESTOGD.487507,487507,POINT (16.2370602859369 48.20476871851066),Wolf in der Au,Wolf in der Au,"450, 451",1482,3,
OEFFHALTESTOGD.487508,487508,POINT (16.22356022889359 48.20917645491316),Badgasse,Badgasse,451,106,3,
OEFFHALTESTOGD.487509,487509,POINT (16.251221256609934 48.203956943367686),Wolfersberggasse,Wolfersberggasse,"450, 451",1501,3,
OEFFHALTESTOGD.487510,487510,POINT (16.224629522573938 48.2103178093291),Hadersdorf Bahnhof,Hadersdorf Bahnhof,450,460,3,
OEFFHALTESTOGD.487511,487511,POINT (16.259866383107358 48.244299416977235),Exelbergsiedlung,Exelbergsiedlung,445,1563,3,
OEFFHALTESTOGD.487512,487512,POINT (16.263501448618836 48.24574930820544),Rohrerhüttenweg,Rohrerhüttenweg,445,1565,3,
OEFFHALTESTOGD.487513,487513,POINT (16.391582373007285 48.26942579311734),Hopfengasse,Hopfengasse,850,548,3,
OEFFHALTESTOGD.487514,487514,POINT (16.39751769056026 48.25761084921276),Am Spitz,Am Spitz,176,50,3,
OEFFHALTESTOGD.487515,487515,POINT (16.36866527253069 48.20241491654444),"Oper, Karlsplatz U","Oper, Karlsplatz U",303,975,3,
OEFFHALTESTOGD.487516,487516,POINT (16.367455019132624 48.200569439748),Karlsplatz,Karlsplatz,G1,657,3,
OEFFHALTESTOGD.487517,487517,POINT (16.435379998035117 48.24233556631207),Siebeckstraße,Siebeckstraße,VAL3,238,3,
OEFFHALTESTOGD.487518,487518,POINT (16.430580259670243 48.239697931194144),Kagraner Brücke,Kagraner Brücke,VAL3,631,3,
OEFFHALTESTOGD.487519,487519,POINT (16.422276893866655 48.23523129537139),Hotel NH Danube City,Hotel NH Danube City,VAL3,1797,3,
OEFFHALTESTOGD.487520,487520,POINT (16.430455086808852 48.20623446273951),Donaumarina,Donaumarina,VAL3,282,3,
OEFFHALTESTOGD.487521,487521,POINT (16.420692042568575 48.234118163894195),Julius-Payer-Gasse,Julius-Payer-Gasse,VAL3,618,3,
OEFFHALTESTOGD.487522,487522,POINT (16.41723712255639 48.232488862622844),Kaisermühlen-VIC,Kaisermühlen-VIC,VAL3,641,3,
OEFFHALTESTOGD.487523,487523,POINT (16.41644451176684 48.231818966408525),Kaisermühlen-VIC,Kaisermühlen-VIC,VAL3,641,3,
OEFFHALTESTOGD.487524,487524,POINT (16.231717129203837 48.128287121170445),Rodaun Gasthaus Maut,Rodaun Gasthaus Maut,255,374,3,
OEFFHALTESTOGD.487525,487525,POINT (16.227529920691907 48.12673110742548),Rodaun Wohnheim,Rodaun Wohnheim,255,327,3,
OEFFHALTESTOGD.487526,487526,POINT (16.22311158886519 48.12494602882382),Rodaun Waldmühle,Rodaun Waldmühle,255,1442,3,
OEFFHALTESTOGD.487527,487527,POINT (16.254804038392294 48.1302077349373),Sonnbergstraße,Sonnbergstraße,255,1274,3,
OEFFHALTESTOGD.487528,487528,POINT (16.412098523134166 48.135932248789885),Unterlaaer Straße,Unterlaaer Straße,266,1411,3,
OEFFHALTESTOGD.487529,487529,POINT (16.475158466222187 48.222881979869655),Aspernstraße,Aspernstraße,550,299,3,
OEFFHALTESTOGD.487530,487530,POINT (16.271688014642198 48.13377891237182),Liesing Aquädukt,Liesing Aquädukt,255,76,3,
OEFFHALTESTOGD.487531,487531,POINT (16.44237938351368 48.154475402291716),Zentralfriedhof 2.Tor,Zentralfriedhof 2.Tor,272,1521,3,
OEFFHALTESTOGD.487532,487532,POINT (16.377549030489448 48.17314998183266),Reumannplatz,Reumannplatz,227,1095,3,
OEFFHALTESTOGD.487533,487533,POINT (16.368568925043974 48.16555472571211),Laxenburger Straße/Raxstraße,Laxenburger Straße/Raxstraße,"120, 200, 210",761,3,
OEFFHALTESTOGD.487534,487534,POINT (16.31889002341496 48.12525866580548),Vösendorf-Siebenhirten,Vösendorf-Siebenhirten,"1155, 207, 265, 266, 268, 303",5133,3,
OEFFHALTESTOGD.487535,487535,POINT (16.354771929980366 48.17510401487626),Kundratstraße,Kundratstraße,"1155, 1158, 261, 303, 309, 7860, 7940, 7941",727,3,
OEFFHALTESTOGD.487536,487536,POINT (16.297547812397664 48.12946649272599),Siebenhirten Brunner Straße,Siebenhirten Brunner Straße,207,1236,3,
OEFFHALTESTOGD.487537,487537,POINT (16.2725747562413 48.13366312231344),Liesing Aquädukt,Liesing Aquädukt,255,76,3,
OEFFHALTESTOGD.487538,487538,POINT (16.244399861069326 48.131724415331114),Kaltenleutgebner Straße 10/63,Kaltenleutgebner Straße 10/63,255,373,3,
OEFFHALTESTOGD.487539,487539,POINT (16.239938485670873 48.13100335004848),Alte Polsterermühle,Alte Polsterermühle,255,1032,3,
OEFFHALTESTOGD.487540,487540,POINT (16.38462780476347 48.29832807778198),Langenzersdorfer Straße,Langenzersdorfer Straße,850,1903,3,
OEFFHALTESTOGD.487541,487541,POINT (16.2415037644365 48.137861296838835),Gütenbachstraße,Gütenbachstraße,254,451,3,
OEFFHALTESTOGD.487542,487542,POINT (16.348415461976316 48.24296007692047),Silbergasse,Silbergasse,415,1253,3,
OEFFHALTESTOGD.487543,487543,POINT (16.344375859520245 48.24484855592757),Oberdöbling,Oberdöbling,415,959,3,
OEFFHALTESTOGD.487544,487544,POINT (16.44060708086106 48.15339902254476),Zentralfriedhof 2.Tor,Zentralfriedhof 2.Tor,ZF,1521,3,
OEFFHALTESTOGD.487545,487545,POINT (16.447480516774537 48.152150273652055),Zentralfriedhof 3.Tor,Zentralfriedhof 3.Tor,ZF,1522,3,
OEFFHALTESTOGD.487546,487546,POINT (16.445385543606776 48.14989846667177),Zentralfriedhof Mahnmal 1938/45,Zentralfriedhof Mahnmal 1938/45,ZF,1829,3,
OEFFHALTESTOGD.487547,487547,POINT (16.440465451171196 48.148180146415235),Zentralfriedhof Friedhofs-Gärtnerei,Zentralfriedhof Friedhofs-Gärtnerei,ZF,1830,3,
OEFFHALTESTOGD.487548,487548,POINT (16.44351675513199 48.146567695331505),Zentralfriedhof Halle 3/Gruppe 40,Zentralfriedhof Halle 3/Gruppe 40,ZF,1831,3,
OEFFHALTESTOGD.487549,487549,POINT (16.448321812691507 48.14487893852927),Zentralfriedhof Gruppe 121,Zentralfriedhof Gruppe 121,ZF,1832,3,
OEFFHALTESTOGD.487550,487550,POINT (16.451227785903193 48.14504574688633),Zentralfriedhof Gruppe 152,Zentralfriedhof Gruppe 152,ZF,1833,3,
OEFFHALTESTOGD.487551,487551,POINT (16.447910575022192 48.14214162235858),Zentralfriedhof Gruppe 142,Zentralfriedhof Gruppe 142,ZF,1835,3,
OEFFHALTESTOGD.487552,487552,POINT (16.44488632422416 48.144523180268365),Zentralfriedhof Gruppe 66,Zentralfriedhof Gruppe 66,ZF,1836,3,
OEFFHALTESTOGD.487553,487553,POINT (16.442144793257985 48.14242804084808),Zentralfriedhof Gruppe 84,Zentralfriedhof Gruppe 84,ZF,1837,3,
OEFFHALTESTOGD.487554,487554,POINT (16.43880925167298 48.144035374330365),Zentralfriedhof Tor 9/Gruppe 82,Zentralfriedhof Tor 9/Gruppe 82,ZF,1838,3,
OEFFHALTESTOGD.487555,487555,POINT (16.435501416168844 48.14565001686335),Zentralfriedhof Kriegsgräber,Zentralfriedhof Kriegsgräber,ZF,1839,3,
OEFFHALTESTOGD.487556,487556,POINT (16.43331752425456 48.146735114933016),Zentralfriedhof Kriegsgräber 1.WK,Zentralfriedhof Kriegsgräber 1.WK,ZF,1840,3,
OEFFHALTESTOGD.487557,487557,POINT (16.429667188276248 48.151893356141215),Zentralfriedhof Tor 11,Zentralfriedhof Tor 11,ZF,1828,3,
OEFFHALTESTOGD.487558,487558,POINT (16.432541849247432 48.15048681493171),Zentralfriedhof Gruppe 74,Zentralfriedhof Gruppe 74,ZF,1842,3,
OEFFHALTESTOGD.487559,487559,POINT (16.434882625143764 48.15245435371209),Zentralfriedhof Gruppe 47,Zentralfriedhof Gruppe 47,ZF,1843,3,
OEFFHALTESTOGD.487560,487560,POINT (16.43448859820168 48.156419419964536),Zentralfriedhof 1.Tor,Zentralfriedhof 1.Tor,ZF,1520,3,
OEFFHALTESTOGD.487561,487561,POINT (16.45090892176303 48.14296639141513),Zentralfriedhof Gruppe 147,Zentralfriedhof Gruppe 147,ZF,1834,3,
OEFFHALTESTOGD.487562,487562,POINT (16.430205084317873 48.14837393305109),Zentralfriedhof Gruppe 78,Zentralfriedhof Gruppe 78,ZF,1841,3,
OEFFHALTESTOGD.487563,487563,POINT (16.437736794841893 48.15483894888077),Zentralfriedhof Gruppe 11,Zentralfriedhof Gruppe 11,ZF,1844,3,
OEFFHALTESTOGD.487564,487564,POINT (16.356333598793032 48.134577616477515),Josef-Prangl-Straße,Josef-Prangl-Straße,"120, 200, 210",1775,3,
OEFFHALTESTOGD.487565,487565,POINT (16.376651080939 48.29668174598801),Ernst-Vasovec-Gasse,Ernst-Vasovec-Gasse,850,945,3,
OEFFHALTESTOGD.487566,487566,POINT (16.27763532515148 48.240154639659565),Schwarzenbergallee,Schwarzenbergallee,445,842,3,
OEFFHALTESTOGD.487567,487567,POINT (16.413726615267326 48.21516908030004),Krieau,Krieau,VAL3,1893,3,
OEFFHALTESTOGD.487568,487568,POINT (16.241423244499444 48.24940450491778),Exelberg Rotes Kreuz,Exelberg Rotes Kreuz,445,3409,3,
OEFFHALTESTOGD.487569,487569,POINT (16.196038638838786 48.24775740250484),Steinbach Lebereckstraße,Steinbach Lebereckstraße,"450, 458",4860,3,
OEFFHALTESTOGD.487570,487570,POINT (16.195207472349093 48.245926722496996),Steinbach Berggasse,Steinbach Berggasse,"450, 458",4859,3,
OEFFHALTESTOGD.487571,487571,POINT (16.193698469125348 48.241148132092185),Steinbach Kirche,Steinbach Kirche,"450, 458",5096,3,
OEFFHALTESTOGD.487572,487572,POINT (16.192446575287416 48.237018380697755),Steinbach Feuerwehr,Steinbach Feuerwehr,"450, 458",4861,3,
OEFFHALTESTOGD.487573,487573,POINT (16.192259252526632 48.23450780448231),Steinbach Laudongasse,Steinbach Laudongasse,"450, 458",3673,3,
OEFFHALTESTOGD.487574,487574,POINT (16.49276520934098 48.278902095452636),Bettelheimstraße,Bettelheimstraße,520,133,3,
OEFFHALTESTOGD.487575,487575,POINT (16.369444410183487 48.20087282476601),Karlsplatz,Karlsplatz,G1,657,3,
OEFFHALTESTOGD.487576,487576,POINT (16.393255829543207 48.218463116675395),Praterstern,Praterstern,175,1040,3,
OEFFHALTESTOGD.487577,487577,POINT (16.452625970333887 48.264605414090276),Aderklaaer Straße,Aderklaaer Straße,520,1858,3,
OEFFHALTESTOGD.487578,487578,POINT (16.194203602823332 48.233053300940284),"Mauerbach, Steinbachstraße","Mauerbach, Steinbachstraße",450,1271,3,
OEFFHALTESTOGD.487579,487579,POINT (16.50251449859806 48.217504411519826),General-Motors-Werk,General-Motors-Werk,595,386,3,
OEFFHALTESTOGD.487580,487580,POINT (16.3892796194419 48.296666519982736),Anton-Böck-Gasse,Anton-Böck-Gasse,850,69,3,
OEFFHALTESTOGD.487581,487581,POINT (16.372427818298743 48.18533234638718),Hauptbahnhof,Hauptbahnhof,6011,1349,3,
OEFFHALTESTOGD.487582,487582,POINT (16.316373901330845 48.222932951708884),Hernals,Hernals,445,505,3,
OEFFHALTESTOGD.487583,487583,POINT (16.308128006951332 48.22627472441025),Dornbach,Dornbach,445,450,3,
OEFFHALTESTOGD.487584,487584,POINT (16.292101510750815 48.232779185158826),Neuwaldegg,Neuwaldegg,445,935,3,
OEFFHALTESTOGD.487585,487585,POINT (16.414241510441382 48.19098101235146),Erdberg,Erdberg,Air-Liner,289,3,
OEFFHALTESTOGD.487586,487586,POINT (16.365067950553442 48.25014977787639),Bhf. Heiligenstadt,Bhf. Heiligenstadt,142,491,3,
OEFFHALTESTOGD.487587,487587,POINT (16.406305666664228 48.30242821448756),Hagenbrunner Straße,Hagenbrunner Straße,501,1926,3,
OEFFHALTESTOGD.487588,487588,POINT (16.40604474067533 48.30174418759939),Pfarrer-Matz-Gasse,Pfarrer-Matz-Gasse,510,1011,3,
OEFFHALTESTOGD.487589,487589,POINT (16.435553257096753 48.13214910417274),"Kledering, Kirche","Kledering, Kirche",266,1410,3,
OEFFHALTESTOGD.487590,487590,POINT (16.436065048261785 48.132115347199814),"Kledering, Kirche","Kledering, Kirche",266,1410,3,
OEFFHALTESTOGD.487591,487591,POINT (16.438133631707895 48.13202786847032),"Kledering, Bhf.","Kledering, Bhf.",266,1410,3,
OEFFHALTESTOGD.487592,487592,POINT (16.39861459948241 48.14284784036968),Oberlaa,Oberlaa,"226, 227, 266",731,3,
OEFFHALTESTOGD.487593,487593,POINT (16.39962530843128 48.141807204112794),"Oberlaa, Laaer-Berg-Straße","Oberlaa, Laaer-Berg-Straße","226, 227, 266",738,3,
OEFFHALTESTOGD.487594,487594,POINT (16.399454009086828 48.14265331678397),"Oberlaa, Laaer-Berg-Straße","Oberlaa, Laaer-Berg-Straße","226, 227, 266",738,3,
OEFFHALTESTOGD.487595,487595,POINT (16.42754632920347 48.131153755489855),Unterlaa Stadtgrenze,Unterlaa Stadtgrenze,266,1410,3,
OEFFHALTESTOGD.487596,487596,POINT (16.18826412030495 48.23746461214973),"Allerheiligenberg, Goethestraße","Allerheiligenberg, Goethestraße","450, 458",3029,3,
OEFFHALTESTOGD.487597,487597,POINT (16.192702407213147 48.23904883961894),"Allerheiligenberg, Talgasse","Allerheiligenberg, Talgasse","450, 458",5326,3,
OEFFHALTESTOGD.487598,487598,POINT (16.188355772580778 48.23949726336306),"Allerheiligenberg, Schöffelstraße","Allerheiligenberg, Schöffelstraße","450, 458",3028,3,
OEFFHALTESTOGD.487599,487599,POINT (16.46727584972279 48.293882534662195),"Gerasdorf, Leopoldauer Straße","Gerasdorf, Leopoldauer Straße",510,3018,3,
OEFFHALTESTOGD.487600,487600,POINT (16.466515304960637 48.29280391854596),"Gerasdorf, Leopoldauer Straße","Gerasdorf, Leopoldauer Straße",510,3018,3,
OEFFHALTESTOGD.487601,487601,POINT (16.468120830209752 48.29585677885627),"Gerasdorf, Kirchengasse/Rathaus","Gerasdorf, Kirchengasse/Rathaus",510,3506,3,
OEFFHALTESTOGD.487602,487602,POINT (16.469314997435415 48.29740047682531),"Gerasdorf, Musikschule","Gerasdorf, Musikschule",510,3573,3,
OEFFHALTESTOGD.487603,487603,POINT (16.468002440565996 48.299577214944364),"Gerasdorf, Florianiplatz","Gerasdorf, Florianiplatz",510,4319,3,
OEFFHALTESTOGD.487604,487604,POINT (16.470285462320195 48.2988494526354),"Gerasdorf, Teichgasse","Gerasdorf, Teichgasse",510,4349,3,
OEFFHALTESTOGD.487605,487605,POINT (16.4583209552232 48.295002971806746),"Gerasdorf, Schulgasse","Gerasdorf, Schulgasse","510, 511",3512,3,
OEFFHALTESTOGD.487606,487606,POINT (16.460985482182505 48.294939709716324),"Gerasdorf, Sparkasse","Gerasdorf, Sparkasse","510, 511",3513,3,
OEFFHALTESTOGD.487607,487607,POINT (16.451933344244843 48.295452090270174),"Gerasdorf, Franz-Welte-Weg","Gerasdorf, Franz-Welte-Weg",510,3505,3,
OEFFHALTESTOGD.487608,487608,POINT (16.444548386981822 48.29596974838358),"Gerasdorf, Auerbachweg","Gerasdorf, Auerbachweg",510,3501,3,
OEFFHALTESTOGD.487609,487609,POINT (16.440750491605982 48.2962229319617),"Gerasdorf, Grenzweg","Gerasdorf, Grenzweg",510,5996,3,
OEFFHALTESTOGD.487610,487610,POINT (16.46545416068513 48.295044412565396),"Gerasdorf, Westliche Scheunenstraße","Gerasdorf, Westliche Scheunenstraße","510, 511",5995,3,
OEFFHALTESTOGD.487611,487611,POINT (16.468430709283894 48.294662751675645),"Gerasdorf, Postamt","Gerasdorf, Postamt",511,3510,3,
OEFFHALTESTOGD.487612,487612,POINT (16.471417068792082 48.29437577852048),"Gerasdorf, Mittelschule","Gerasdorf, Mittelschule",511,3507,3,
OEFFHALTESTOGD.487613,487613,POINT (16.458222932187617 48.29686529631382),"Gerasdorf, Volksschule","Gerasdorf, Volksschule",511,3514,3,
OEFFHALTESTOGD.487614,487614,POINT (16.478804439029744 48.29353011813654),"Gerasdorf, Josef-Böck-Gasse","Gerasdorf, Josef-Böck-Gasse",511,3509,3,
OEFFHALTESTOGD.487615,487615,POINT (16.462224646698495 48.293010185889614),"Gerasdorf, Dr. Theodor-Körner-Gasse","Gerasdorf, Dr. Theodor-Körner-Gasse",511,5987,3,
OEFFHALTESTOGD.487616,487616,POINT (16.45841880896004 48.291646483615686),"Gerasdorf, Johann-Kaller-Gasse","Gerasdorf, Johann-Kaller-Gasse",511,5982,3,
OEFFHALTESTOGD.487617,487617,POINT (16.45463617017265 48.29030173523803),"Gerasdorf, Anzengruberweg","Gerasdorf, Anzengruberweg",511,5965,3,
OEFFHALTESTOGD.487618,487618,POINT (16.451568275815813 48.289215894501325),"Gerasdorf, Blumenweg","Gerasdorf, Blumenweg",511,5964,3,
OEFFHALTESTOGD.487619,487619,POINT (16.376871450320216 48.18427950534421),Hauptbahnhof,Hauptbahnhof,VAL1,1349,3,
OEFFHALTESTOGD.487620,487620,POINT (16.422133762300586 48.21105597310842),Stadion,Stadion,VAL3,1894,3,
OEFFHALTESTOGD.487621,487621,POINT (16.469071899949206 48.157132944857715),Valiergasse,Valiergasse,N71,1418,11,
OEFFHALTESTOGD.487622,487622,POINT (16.37970195420649 48.24336341951117),Friedrich-Engels-Platz,Friedrich-Engels-Platz,N8,363,11,
OEFFHALTESTOGD.487623,487623,POINT (16.365775694924302 48.199548137768424),Bärenmühldurchgang,Bärenmühldurchgang,N60,193,11,
OEFFHALTESTOGD.487624,487624,POINT (16.344884843999154 48.18550288422849),Margaretenstraße,Margaretenstraße,N6,1880,11,
OEFFHALTESTOGD.487625,487625,POINT (16.351457717224378 48.13670465668899),"Inzersdorf, Birostraße","Inzersdorf, Birostraße",N67,1625,11,
OEFFHALTESTOGD.487626,487626,POINT (16.397266239358213 48.25837205750583),Am Spitz,Am Spitz,"N20, N31",50,11,
OEFFHALTESTOGD.487627,487627,POINT (16.444408096457348 48.233363669153256),Donaustadtstraße,Donaustadtstraße,N26,236,11,
OEFFHALTESTOGD.487628,487628,POINT (16.445788021593593 48.27610864356672),Kürschnergasse,Kürschnergasse,N25,1861,11,
OEFFHALTESTOGD.487629,487629,POINT (16.43885817336159 48.24524207566382),Steigenteschgasse,Steigenteschgasse,N25,1313,11,
OEFFHALTESTOGD.487630,487630,POINT (16.305691058264372 48.157428426158106),Gregorygasse,Gregorygasse,N65,421,11,
OEFFHALTESTOGD.487631,487631,POINT (16.357253756264498 48.204858839528),Volkstheater,Volkstheater,N49,1430,11,
OEFFHALTESTOGD.487632,487632,POINT (16.329075655984738 48.1522833666068),Schwarzenhaidestraße,Schwarzenhaidestraße,N66,1195,11,
OEFFHALTESTOGD.487633,487633,POINT (16.438128929512658 48.16391575205759),Am Himmelreich,Am Himmelreich,N71,40,11,
OEFFHALTESTOGD.487634,487634,POINT (16.32404954490479 48.183727749609474),Rotenmühlgasse,Rotenmühlgasse,N60,1118,11,
OEFFHALTESTOGD.487635,487635,POINT (16.28858230055839 48.13844411505293),Dr.-Neumann-Gasse,Dr.-Neumann-Gasse,N65,247,11,
OEFFHALTESTOGD.487636,487636,POINT (16.349102688448852 48.23987649421462),Gatterburggasse,Gatterburggasse,N38,376,11,
OEFFHALTESTOGD.487637,487637,POINT (16.370209280740088 48.2353609578427),Jägerstraße,Jägerstraße,N31,1667,11,
OEFFHALTESTOGD.487638,487638,POINT (16.37034839086103 48.16863798822828),Laxenburger Straße/Troststraße,Laxenburger Straße/Troststraße,N66,760,11,
OEFFHALTESTOGD.487639,487639,POINT (16.353903355827033 48.147726730704754),Inzersdorf Friedhof,Inzersdorf Friedhof,N66,580,11,
OEFFHALTESTOGD.487640,487640,POINT (16.354690608938885 48.14603008643405),Jochen-Rindt-Straße,Jochen-Rindt-Straße,N66,599,11,
OEFFHALTESTOGD.487641,487641,POINT (16.295570288015504 48.14583039651411),Brunner Straße/Erlaaer Straße,Brunner Straße/Erlaaer Straße,N65,174,11,
OEFFHALTESTOGD.487642,487642,POINT (16.39957991822222 48.17509694521642),Geiereckstraße,Geiereckstraße,N6,382,11,
OEFFHALTESTOGD.487643,487643,POINT (16.382533683467983 48.14665064688005),Neulaa,Neulaa,N67,1123,11,
OEFFHALTESTOGD.487644,487644,POINT (16.46231852432844 48.25575936942265),Hosnedlgasse,Hosnedlgasse,N25,550,11,
OEFFHALTESTOGD.487645,487645,POINT (16.401416679573586 48.19785769644495),Kardinal-Nagl-Platz,Kardinal-Nagl-Platz,N75,653,11,
OEFFHALTESTOGD.487646,487646,POINT (16.35643399656937 48.13452127622647),Josef-Prangl-Straße,Josef-Prangl-Straße,N67,1775,11,
OEFFHALTESTOGD.487647,487647,POINT (16.382545092878015 48.222631385773596),Taborstraße/Heinestraße,Taborstraße/Heinestraße,N29,494,11,
OEFFHALTESTOGD.487648,487648,POINT (16.374244638849838 48.14488906570806),Sulzengasse,Sulzengasse,N67,1342,11,
OEFFHALTESTOGD.487649,487649,POINT (16.30234825021869 48.228042654558294),Dornbacher Straße,Dornbacher Straße,N43,241,11,
OEFFHALTESTOGD.487650,487650,POINT (16.360180804034535 48.14456368860662),Kolbegasse,Kolbegasse,"N66, N67",697,11,
OEFFHALTESTOGD.487651,487651,POINT (16.370732586406202 48.245691335131966),Dr.-Adolf-Schärf-Heim,Dr.-Adolf-Schärf-Heim,N29,244,11,
OEFFHALTESTOGD.487652,487652,POINT (16.46549962239252 48.159955400520836),Mühlsangergasse,Mühlsangergasse,N71,902,11,
OEFFHALTESTOGD.487653,487653,POINT (16.365762862671414 48.19726164784949),Schleifmühlgasse,Schleifmühlgasse,"N62, N66",1168,11,
OEFFHALTESTOGD.487654,487654,POINT (16.461499603793193 48.160112188175724),Halterlacken,Halterlacken,N71,469,11,
OEFFHALTESTOGD.487655,487655,POINT (16.33590405052079 48.15948161531388),Gutheil-Schoder-Gasse,Gutheil-Schoder-Gasse,N65,444,11,
OEFFHALTESTOGD.487656,487656,POINT (16.37758880084368 48.17309902958638),Reumannplatz,Reumannplatz,"N65, N67",1095,11,
OEFFHALTESTOGD.487657,487657,POINT (16.362767070751893 48.133274122816765),Halban-Kurz-Straße,Halban-Kurz-Straße,N67,1742,11,
OEFFHALTESTOGD.487658,487658,POINT (16.466733842508145 48.154532434949935),Svetelskystraße,Svetelskystraße,N71,1671,11,
OEFFHALTESTOGD.487659,487659,POINT (16.264337874330835 48.151922823189196),Valentingasse,Valentingasse,N60,1417,11,
OEFFHALTESTOGD.487660,487660,POINT (16.383854190395674 48.24112223608138),Handelskai,Handelskai,N8,1705,11,
OEFFHALTESTOGD.487661,487661,POINT (16.3277609144145 48.17221586640997),Wienerbergbrücke,Wienerbergbrücke,N62,1477,11,
OEFFHALTESTOGD.487662,487662,POINT (16.456445716343094 48.254989779465426),Hochmuthgasse,Hochmuthgasse,N25,1674,11,
OEFFHALTESTOGD.487663,487663,POINT (16.450656114655363 48.15910617946065),Luzegasse,Luzegasse,N71,270,11,
OEFFHALTESTOGD.487664,487664,POINT (16.45507825633069 48.26021166204663),Puchgasse,Puchgasse,N25,1050,11,
OEFFHALTESTOGD.487665,487665,POINT (16.286525391697488 48.19686223772725),Seckendorfstraße,Seckendorfstraße,N49,1014,11,
OEFFHALTESTOGD.487666,487666,POINT (16.448619701550065 48.26839938934677),Wassermanngasse,Wassermanngasse,N25,1451,11,
OEFFHALTESTOGD.487667,487667,POINT (16.293467300102666 48.145417335502756),Knotzenbachgasse,Knotzenbachgasse,N66,694,11,
OEFFHALTESTOGD.487668,487668,POINT (16.44452344320362 48.162385940135216),Hörtengasse,Hörtengasse,N71,571,11,
OEFFHALTESTOGD.487669,487669,POINT (16.38439930136105 48.20612705768352),Landstraße-Wien Mitte,Landstraße-Wien Mitte,N75,743,11,
OEFFHALTESTOGD.487670,487670,POINT (16.31949634018069 48.168035381920525),Sonnergasse,Sonnergasse,N8,1276,11,
